CAS,Chemical,Clint_ref_uL,Clint_p2_5,Clint_median,Clint_p97_5,AED_p2_5,AED_median,AED_p97_5,BER_p2_5,BER_median,BER_p97_5,Exposure_mg_kg_day
31218-83-4,Propetamphos,16.24,26.999,47.82,86.039,0.201167,0.202819,0.205687,,,,
114-26-1,Propoxur,6.899,2.736,5.607,10.202,1.034542,1.037894,1.045701,,,,
23950-58-5,Propyzamide,5.4,13.498,19.238,26.949,0.250965,0.251445,0.25216,,,,
94125-34-5,Prosulfuron,10.37,5.301,8.318,14.513,0.079572,0.085943,0.09444,,,,
123312-89-0,Pymetrozine,8.611,1.51,4.173,8.477,4.878078,4.883288,4.901391,,,,
175013-18-0,Pyraclostrobin,53.93,26.557,56.213,121.557,0.205841,0.216232,0.237817,,,,
96489-71-3,Pyridaben,63.93,16.141,31.363,70.088,0.648679,0.668171,0.701442,,,,
53112-28-0,Pyrimethanil,43.89,31.387,62.517,178.457,0.406958,0.409161,0.412524,,,,
95737-68-1,Pyriproxyfen,16.86,27.942,52.43,100.53,0.027752,0.029979,0.034059,,,,
83-79-4,Rotenone,28.31,26.914,62.121,142.369,0.268251,0.274391,0.288639,,,,
28434-00-6,s-bioallethrin,45.9,17.237,24.594,34.624,0.080956,0.104604,0.139445,,,,
74051-80-2,Sethoxydim,11.87,13.964,19.377,29.571,0.286108,0.286916,0.287826,,,,
122-34-9,Simazine,6.326,7.159,14.84,31.858,1.000147,1.001216,1.003436,,,,
118134-30-8,Spiroxamine,3.353,16.959,24.016,33.485,0.03767,0.03835,0.039349,,,,
122836-35-5,Sulfentrazone,5.715,1.945,5.612,11.184,5.494542,5.497655,5.513885,,,,
112410-23-8,Tebufenozide,22.4,14.883,23.802,51.958,0.546824,0.55003,0.553575,,,,
119168-77-3,Tebufenpyrad,15.94,32.062,66.487,148.06,0.15332,0.155515,0.159793,,,,
96182-53-5,Tebupirimfos,22.64,23.016,39.837,69.216,0.179407,0.182667,0.188279,,,,
34014-18-1,Tebuthiuron,5.282,4.519,7.372,11.485,1.458381,1.459863,1.462476,,,,
79538-32-2,Tefluthrin,24.81,6.056,8.905,17.178,0.20796,0.225805,0.243239,,,,
149979-41-9,Tepraloxydim,3.349,5.192,8.591,14.501,0.175781,0.175971,0.176276,,,,
5902-51-2,Terbacil,2.272,3.021,6.224,12.749,0.251038,0.25278,0.256388,,,,
7696-12-0,Tetramethrin,37.6,17.746,29.024,74.225,0.370104,0.383368,0.397209,,,,
111988-49-9,Thiacloprid,2.574,2.955,5.403,9.173,0.697753,0.699372,0.702634,,,,
117718-60-2,Thiazopyr,41.5,22.025,44.812,96.262,0.791737,0.798926,0.812844,,,,
28249-77-6,Thiobencarb,233.0,36.203,75.161,176.438,0.095223,0.137732,0.217425,,,,
23564-05-8,Thiophanate-methyl,2.469,3.357,6.074,9.939,1.365508,1.367294,1.371011,,,,
43121-43-3,Triadimefon,14.59,7.189,10.751,16.53,1.670476,1.674615,1.680481,,,,
82097-50-5,Triasulfuron,14.58,4.757,7.838,12.855,0.512086,0.52148,0.537067,,,,
78-48-8,Tribufos,125.1,17.56,35.73,77.838,1.289321,1.291882,1.296782,,,,
3380-34-5,Triclosan,27.8,17.914,26.275,36.423,0.301337,0.307517,0.317868,,,,
68694-11-1,Triflumizole,19.6,7.779,15.106,41.701,0.344871,0.35967,0.381531,,,,
126535-15-7,Triflusulfuron-methyl,14.47,4.741,10.721,20.571,11.843563,11.857591,11.894542,,,,
131983-72-7,Triticonazole,6.118,8.089,12.427,19.418,0.363021,0.363688,0.364682,,,,
50471-44-8,Vinclozolin,18.34,6.456,11.212,25.871,2.761046,2.761908,2.764577,,,,
101-54-2,"""n-phenyl-1,4-benzenediamine""",15.59,16.06,32.509,52.966,1.370224,1.371215,1.373843,,,,
101-61-1,"""4,4'-methylenebis(n,n-dimethylaniline)""",18.85,37.039,73.768,174.987,0.025405,0.026907,0.029483,,,,
101-86-0,2-benzylideneoctanal,14.36,23.703,34.831,51.629,0.134236,0.135335,0.136921,,,,
102-27-2,N-ethyl-3-methylaniline,13.12,15.683,24.571,41.746,0.90209,0.903022,0.904306,,,,
103-23-1,Di(2-ethylhexyl)adipate,13.56,11.08,28.46,102.004,0.151955,0.152825,0.154717,,,,
103-24-2,Azelaic acid di(2-ethylhexyl) ester,3.152,0.813,5.884,63.751,0.036653,0.038227,0.049049,,,,
103-90-2,Acetaminophen,0.36,2.005,5.242,10.019,0.388213,0.388512,0.389624,,,,
104-67-6,5-heptyldihydro-2(3h)-furanone,9.47,17.501,29.444,40.3,0.360522,0.360939,0.361994,,,,
105-99-7,Dibutyl hexanedioate,14.03,4.436,20.461,104.89,0.554267,0.554267,0.555571,,,,
10605-21-7,Methyl 1h-benzimidazol-2-ylcarbamate,24.0,4.873,8.171,14.386,6.417202,6.423281,6.432808,,,,
106-44-5,4-methylphenol,39.66,7.911,18.276,37.181,6.313048,6.315991,6.328117,,,,
106-65-0,Dimethyl succinate,364.4,2.042,5.547,10.664,1967.920757,1969.051191,1974.369232,,,,
107534-96-3,Tebuconazole,5.278,13.345,18.262,25.172,0.159602,0.159918,0.160342,,,,
108-46-3,Resorcinol,14.48,2.761,6.518,14.342,5.239497,5.243682,5.256505,,,,
108-95-2,Phenol,5.496,4.201,10.425,30.141,1.441248,1.441754,1.444638,,,,
111-21-7,Triethylene glycol diacetate,206.0,2.202,5.193,9.39,1004.496124,1005.339564,1007.903734,,,,
1119-40-0,Dimethyl glutarate,46.3,2.476,5.375,9.95,39.158595,39.200447,39.306995,,,,
115-86-6,Triphenyl phosphate,26.44,31.731,63.458,134.751,0.139354,0.142836,0.149416,,,,
119-61-9,Benzophenone,9.134,21.482,29.715,39.866,0.366383,0.366801,0.36743,,,,
120-47-8,Ethylparaben,57.24,21.518,33.75,52.302,3.879528,3.882895,3.88829,,,,
120-71-8,P-cresidine,19.53,10.872,26.723,53.163,3.124169,3.124169,3.127251,,,,
121-00-6,2-tert-butyl-4-methoxy-phenol,7.06,20.246,29.348,38.984,0.280176,0.280461,0.280979,,,,
123122-55-4,Candoxatril,9.898,5.367,12.477,23.439,6.277472,6.285197,6.307077,,,,
124-94-7,Triamcinolone,2.492,1.889,4.692,8.969,9.647785,9.659434,9.695687,,,,
127308-82-1,Zamifenacin,17.11,13.75,19.43,25.968,0.887068,0.928071,0.995335,,,,
129-00-0,Pyrene,6.18,13.134,23.018,43.193,0.052969,0.053354,0.053976,,,,
13311-84-7,Flutamide,30.38,14.527,20.122,29.281,0.692447,0.694932,0.69799,,,,
13674-87-8,"""tris(1,3-dichloro-2-propyl) phosphate (tdcpp)""",5.092,9.476,16.805,42.841,0.070207,0.072227,0.074799,,,,
139290-65-6,Volinanserin,5.464,4.673,8.679,13.6,5.479724,5.483637,5.492906,,,,
140-66-9,"""4-(1,1,3,3-tetramethylbutyl)phenol""",26.98,14.376,25.591,45.338,0.246666,0.248576,0.251997,,,,
148-24-3,8-hydroxyquinoline,69.68,22.078,33.355,52.143,3.124612,3.1271,3.130628,,,,
150-68-5,Monuron,3.086,5.388,8.457,14.29,0.837668,0.838443,0.839525,,,,
15310-01-7,Benodanil,21.4,8.342,12.526,18.822,1.158858,1.162436,1.167801,,,,
1806-26-4,4-octylphenol,15.65,11.019,19.309,41.03,0.096035,0.10045,0.106725,,,,
1843-05-6,2-hydroxy-4-(octyloxy)benzophenone,807.0,15.26,31.9,80.446,5.648948,10.125685,18.21539,,,,
1861-32-1,Chlorthal-dimethyl,38.62,24.526,48.635,94.482,0.668262,0.671741,0.678789,,,,
1929-77-7,Vernolate,25.1,24.481,33.507,46.657,0.383494,0.384959,0.386875,,,,
205-99-2,Benzo[b]fluoranthene,5.564,9.566,17.579,42.268,0.034953,0.035894,0.037242,,,,
206-44-0,Fluoranthene,8.064,10.176,18.782,40.117,0.054713,0.05566,0.057165,,,,
2104-64-5,O-ethyl o-(p-nitrophenyl) phenylphosphonothioate,8.16,15.625,21.655,31.949,0.090283,0.091408,0.092756,,,,
24602-86-6,Tridemorph,12.91,18.071,29.669,54.686,0.383013,0.401198,0.42671,,,,
2634-33-5,"""1,2-benzisothiazolin-3-one""",34.74,17.146,33.076,157.285,0.086693,0.090272,0.094483,,,,
2921-88-2,Chlorpyrifos,2.6,14.929,21.221,55.727,0.022972,0.023697,0.02419,,,,
298-46-4,Carbamazepine,2.375,4.501,7.281,12.183,0.574245,0.574784,0.575611,,,,
30516-87-1,Azidothymidine,2.414,1.768,4.423,8.605,2.204723,2.207037,2.214189,,,,
3147-75-9,Octrizole,5.87,19.193,32.095,61.315,0.152972,0.153856,0.155104,,,,
35256-85-0,Butam,9.846,9.728,15.863,26.92,0.793282,0.794073,0.795288,,,,
446-72-0,Genistein,18.69,14.35,24.997,43.59,0.435246,0.4379,0.442517,,,,
484-17-3,9-phenanthrol,20.98,24.167,33.525,48.753,0.117915,0.119626,0.121746,,,,
50-29-3,"""p,p'-ddt""",12.5,10.08,21.657,79.932,0.030043,0.072269,0.138787,,,,
50892-23-4,Pirinixic acid,7.51,8.127,17.892,41.618,0.033062,0.034688,0.038114,,,,
51-52-5,6-propyl-2-thiouracil,1.323,0.418,2.087,7.489,0.725636,0.730253,0.755784,,,,
527680-56-4,"""n-[(3r)-1-azabicyclo[2.2.2]oct-3-yl]-2,3-dihydro-1,4-benzodioxine-6-carboxamide""",3.688,4.524,10.047,20.049,5.421584,5.421584,5.426628,,,,
528-29-0,"""1,2-dinitrobenzene""",24.2,23.237,34.124,60.631,1.0587,1.060403,1.062228,,,,
52-86-8,Haloperidol,5.062,7.216,11.975,21.082,0.582575,0.583602,0.585171,,,,
53-03-2,Prednisone,9.09,3.043,5.727,9.308,5.15576,5.162032,5.176412,,,,
548-62-9,Hexamethyl-p-rosaniline chloride,8.322,4.924,8.268,13.664,0.171584,0.176531,0.18504,,,,
55285-14-8,Carbosulfan,26.74,20.215,45.652,135.086,0.299924,0.30743,0.321698,,,,
563-12-2,Ethion,10.41,14.555,20.774,85.982,0.006567,0.016959,0.022813,,,,
56-53-1,Diethylstilbestrol (des),39.5,19.137,27.443,41.974,0.429214,0.434166,0.440374,,,,
56-55-3,Benz[a]anthracene,18.27,8.212,16.522,37.249,0.129883,0.133225,0.139301,,,,
57-41-0,Phenytoin,0.818,5.018,7.988,12.799,0.132143,0.132476,0.133001,,,,
576-26-1,"""2,6-dimethylphenol""",20.52,8.486,17.92,34.62,2.063786,2.066111,2.071469,,,,
57-83-0,Progesterone,33.7,18.146,28.699,52.357,0.551659,0.554921,0.559119,,,,
579-66-8,"""2,6-diethylaniline""",16.13,19.59,27.479,38.916,0.47273,0.473222,0.473896,,,,
57-97-6,"""7,12-dimethylbenz(a)anthracene""",3.226,10.32,17.922,41.709,0.022914,0.024137,0.025717,,,,
58-08-2,Caffeine,0.285,1.141,3.567,8.089,0.440794,0.441398,0.443693,,,,
58-14-0,Pyrimethamine,2.768,5.887,10.307,17.961,0.262077,0.262878,0.26429,,,,
59756-60-4,Fluridone ,5.594,7.29,10.549,15.998,0.46012,0.461059,0.462291,,,,
599-79-1,Sulfasalazine,5.16,6.99,10.737,31.116,0.16262,0.182873,0.19945,,,,
60-09-3,4-aminoazobenzene,15.7,23.938,32.315,56.537,0.139401,0.140337,0.141102,,,,
606-20-2,"""2,6-dinitrotoluene""",34.64,15.071,35.498,58.495,3.227967,3.23035,3.238564,,,,
63-05-8,Androstenedione,25.92,7.305,10.759,15.872,4.439918,4.446561,4.45631,,,,
6344-67-8,3-hydroxyfluorene,20.56,24.078,36.256,85.219,0.355707,0.357679,0.359415,,,,
732-11-6,Phosmet,23.82,7.525,12.258,18.966,0.893042,0.897718,0.906035,,,,
75330-75-5,Lovastatin,21.9,18.875,38.487,95.076,0.494634,0.499284,0.5074,,,,
77-09-8,Phenolphthalein,47.4,9.889,17.285,26.745,1.258694,1.265844,1.280964,,,,
77-40-7,Bisphenol b,35.66,26.823,45.518,96.491,0.621755,0.625198,0.629741,,,,
789-02-6,"""o,p'-ddt""",15.3,9.857,21.873,82.874,0.038535,0.093704,0.185071,,,,
79902-63-9,Simvastatin,24.3,13.379,19.57,86.409,0.280715,0.304481,0.318699,,,,
80-46-6,4-(2-methylbutan-2-yl)phenol,20.96,19.939,28.785,45.476,0.079086,0.080783,0.082835,,,,
838-88-0,"""4,4'-methylene bis(2-methylaniline)""",3.984,4.847,7.924,12.81,0.601533,0.602651,0.604512,,,,
85532-75-8,Pk 11195,42.12,25.162,53.407,132.622,0.618445,0.622176,0.629188,,,,
86-30-6,N-nitrosodiphenylamine,8.288,25.512,36.05,63.312,0.258884,0.259501,0.260093,,,,
86386-73-4,Fluconazole ,1.832,2.369,5.018,9.126,1.427353,1.428926,1.432832,,,,
87-62-7,"""2,6-dimethylaniline""",8.96,7.85,17.764,39.122,1.309349,1.309533,1.311418,,,,
87-86-5,Pentachlorophenol,8.764,15.647,27.705,47.083,0.463804,0.464907,0.466973,,,,
88-06-2,"""2,4,6-trichlorophenol""",18.76,23.888,32.12,44.993,0.211989,0.213067,0.214365,,,,
91-22-5,Quinoline,38.6,14.869,30.84,57.491,4.930452,4.932378,4.939744,,,,
91-53-2,Ethoxyquin,15.16,36.405,71.583,189.289,0.097674,0.098365,0.099439,,,,
91-59-8,2-naphthylamine,18.5,21.29,31.21,49.211,0.752684,0.753384,0.754277,,,,
92-87-5,Benzidine,6.91,3.02,8.351,21.239,0.855415,0.858157,0.866138,,,,
94-13-3,Propylparaben,38.0,21.396,30.668,43.072,1.652416,1.654187,1.656851,,,,
94-26-8,Butylparaben,39.3,23.67,31.368,43.96,0.719321,0.722296,0.725674,,,,
94-28-0,Tri(ethylene glycol) bis(2-ethylhexanoate),22.62,24.224,54.96,121.699,0.223675,0.227522,0.236421,,,,
95-48-7,2-methylphenol,27.48,6.613,15.403,34.082,5.110837,5.113351,5.123487,,,,
95-95-4,"""2,4,5-trichlorophenol""",26.24,23.829,32.256,45.305,0.125022,0.126791,0.128964,,,,
97-53-0,Eugenol,103.6,13.833,35.106,58.157,13.942828,13.94693,13.974681,,,,
97-54-1,Isoeugenol,71.78,25.691,59.79,224.361,0.254468,0.259883,0.269683,,,,
98-54-4,4-tert-butylphenol,26.8,11.861,22.932,38.029,0.918711,0.920029,0.92313,,,,
98-95-3,Nitrobenzene,8.168,9.373,20.039,43.64,1.848208,1.848455,1.850839,,,,
99-08-1,3-nitrotoluene,16.82,20.182,28.758,47.649,0.708375,0.709477,0.710658,,,,
99-59-2,2-methoxy-5-nitroaniline,12.03,7.957,23.599,49.477,2.211432,2.211657,2.216447,,,,
99-71-8,4-(butan-2-yl)phenol,19.03,18.912,27.004,39.844,0.580965,0.581959,0.583277,,,,
99-76-3,Methylparaben,107.5,21.909,31.068,51.983,4.748831,4.756431,4.764329,,,,
99-99-0,4-nitrotoluene,19.32,19.899,28.98,49.49,0.814699,0.816195,0.817842,,,,
33286-22-5,Diltiazem hydrochloride,23.48,3.96,7.089,10.95,11.772714,11.795892,11.847835,,,,
50-02-2,Dexamethasone,1.791,2.948,5.713,9.544,0.885559,0.887254,0.891214,,,,
15307-86-5,Diclofenac,65.42,16.771,23.431,32.676,0.240103,0.244914,0.251667,,,,
15687-27-1,Ibuprofen,10.12,24.359,32.807,45.459,0.048312,0.048664,0.049102,,,,
64-77-7,Tolbutamide,1.324,4.314,7.668,15.706,0.043461,0.044087,0.045036,,,,
22204-53-1,Naproxen,26.48,41.997,87.15,245.248,0.025693,0.026509,0.027871,,,,
29122-68-7,Atenolol,1.986,1.697,4.273,8.701,3.454032,3.457853,3.46925,,,,
15307-79-6,Diclofenac sodium,38.84,10.417,22.339,80.41,0.145604,0.155309,0.170688,,,,
36505-84-7,Buspirone,7.66,7.224,10.593,16.954,0.421283,0.423865,0.427074,,,,
51384-51-1,Metoprolol,6.231,5.066,9.841,17.572,4.373432,4.373454,4.377596,,,,
60-80-0,Antipyrine,0.506,1.711,4.631,9.006,0.481665,0.48212,0.483718,,,,
62-44-2,Phenacetin,9.346,4.576,7.808,12.62,2.819361,2.821365,2.825075,,,,
58-55-9,Theophylline,0.779,1.07,3.051,7.339,0.438502,0.439703,0.443508,,,,
604-75-1,Oxazepam,3.271,4.239,7.248,13.643,0.099334,0.100716,0.102809,,,,
83-43-2,Methylprednisolone,5.452,4.033,6.692,10.53,2.307272,2.31203,2.320636,,,,
50-24-8,Prednisolone,5.841,3.947,6.592,10.519,2.120374,2.124559,2.132072,,,,
97322-87-7,Troglitazone,21.85,12.605,18.565,55.128,0.039565,0.050802,0.058813,,,,
59865-13-3,Cyclosporin a,8.591,1.889,10.394,75.54,0.039785,0.173544,0.871698,,,,
73590-58-6,Omeprazole,3.271,5.793,8.744,13.657,0.885695,0.887678,0.890486,,,,
2078-54-8,Propofol,107.0,22.564,32.308,47.506,1.260468,1.267209,1.27631,,,,
111406-87-2,Zileuton,2.298,6.838,19.626,35.061,0.200743,0.201303,0.203683,,,,
76-57-3,Codeine,24.53,3.12,7.133,12.776,42.417317,42.426827,42.493617,,,,
66357-35-5,Ranitidine,1.324,1.534,4.218,8.738,3.530703,3.534683,3.548144,,,,
58-15-1,Aminopyrine,4.1,3.477,7.482,12.908,2.594069,2.594503,2.59799,,,,
65277-42-1,Ketoconazole,55.0,8.523,15.708,24.843,1.582898,1.588093,1.600002,,,,
