CAS,Compound,MW,logP,Fup,Clint,Clint_final,Clint_source
121-14-2,"""2,4-dinitrotoluene""",182.1,1.979,0.09602,,34.9275,RF_predicted_544model
126-73-8,Tributyl phosphate,266.3,3.997,0.03481,,27.2108,RF_predicted_544model
128-39-2,"""2,6-di-tert-butylphenol""",206.3,4.92,0.01953,,18.1213,RF_predicted_544model
131-17-9,Diallyl phthalate,246.3,3.229,0.9621,,99.7709,RF_predicted_544model
13292-46-1,Rifampicin,823.0,3.085,0.04344,,13.8653,RF_predicted_544model
1445-75-6,Diisopropyl methylphosphonate (dimp),180.2,1.034,0.9727,,6.5352,RF_predicted_544model
145742-28-5,"""(2s,3s)-n-[2-methoxy-5-(trifluoromethoxy)benzyl]-2-phenylpiperidin-3-amine""",380.4,4.031,0.07996,,15.3325,RF_predicted_544model
147-24-0,Diphenhydramine hydrochloride,291.8,0.3888,0.4131,,8.63,RF_predicted_544model
1563-66-2,Carbofuran,221.3,1.974,0.4213,,6.1181,RF_predicted_544model
2058-46-0,Oxytetracycline hydrochloride,496.9,-1.034,0.6283,,7.4709,RF_predicted_544model
2243-62-1,"""1,5-diaminonaphthalene""",158.2,0.8928,0.6333,,11.7722,RF_predicted_544model
2528-16-7,Benzyl hydrogen phthalate,256.3,2.93,0.0352,,17.7526,RF_predicted_544model
298-02-2,Phorate,260.4,3.693,0.0129,,39.9778,RF_predicted_544model
3739-38-6,3-phenoxybenzoic acid,214.2,3.906,0.00716,,52.588,RF_predicted_544model
4291-63-8,2-chloro-2'-deoxyadenosine,285.7,0.01732,0.9848,,3.1009,RF_predicted_544model
50-55-5,Reserpine,608.7,2.57,0.005994,,6.8116,RF_predicted_544model
51-28-5,"""2,4-dinitrophenol""",184.1,1.672,0.02723,,44.6616,RF_predicted_544model
534-52-1,"""2-methyl-4,6-dinitrophenol""",198.1,2.131,0.002637,,43.6875,RF_predicted_544model
60-57-1,Dieldrin,380.9,5.118,0.009376,,28.8097,RF_predicted_544model
7173-51-5,Didecyl dimethyl ammonium chloride,362.1,2.683,0.005,,23.4886,RF_predicted_544model
72-20-8,Endrin,380.9,5.118,0.006423,,24.3375,RF_predicted_544model
72-54-8,"""p,p'-ddd""",320.0,6.129,0.03115,,24.6572,RF_predicted_544model
81-81-2,Warfarin,308.3,2.7,0.01327,,21.1691,RF_predicted_544model
88-85-7,Dinoseb,240.2,3.559,0.00043,,79.6525,RF_predicted_544model
90-04-0,2-anisidine,123.2,1.18,0.4532,,15.7432,RF_predicted_544model
91-64-5,Coumarin,146.1,1.391,0.1922,,29.2578,RF_predicted_544model
50-78-2,Aspirin,180.2,1.193,0.532,,9.8568,RF_predicted_544model
54-31-9,Furosemide,330.7,2.029,0.012,,12.2215,RF_predicted_544model
15676-16-1,Sulpiride,341.4,0.5712,1.0,,7.9945,RF_predicted_544model
57-63-6,Ethinylestradiol,296.4,3.669,0.014,,44.2624,RF_predicted_544model
76824-35-6,Famotidine,337.4,-0.6389,0.84,,8.5857,RF_predicted_544model
20830-75-5,Digoxin,780.9,1.263,0.7,,5.0748,RF_predicted_544model
59-05-2,Methotrexate,454.4,-1.847,0.432,,9.275,RF_predicted_544model
60-54-8,Tetracycline,444.4,-1.295,0.468,,8.0209,RF_predicted_544model
80-08-0,Dapsone,248.3,0.9717,0.295,,3.8442,RF_predicted_544model
69655-05-6,Didanosine,236.2,-1.238,0.951,,6.631,RF_predicted_544model
2321-07-5,Fluorescein,332.3,2.531,0.151,,13.3718,RF_predicted_544model
73-31-4,Melatonin,232.3,0.6118,0.498,,8.4905,RF_predicted_544model
67-20-9,Nitrofurantoin,238.2,-0.4691,0.415,,6.1125,RF_predicted_544model
396-01-0,Triamterene,253.3,0.9803,0.333,,4.0856,RF_predicted_544model
70-30-4,Hexachlorophene,406.9,7.538,1e-06,,18.3247,RF_predicted_544model
54-62-6,Aminopterin,440.4,-0.05046,0.75,,4.4274,RF_predicted_544model
77-06-5,Gibberellic_acid,346.4,0.2422,0.24,,6.292,RF_predicted_544model
58-93-5,Hydrochlorothiazide,297.7,-0.07002,0.274,,7.413,RF_predicted_544model
608-73-1,"1,2,3,4,5,6-hexachlorocyclohexane",290.8,3.719,0.0174,,45.5051,RF_predicted_544model
99-65-0,"1,3-dinitrobenzene",168.1,1.492,0.391,,14.3728,RF_predicted_544model
54965-24-1,Tamoxifen citrate,563.6,0.8373,0.0012,,16.3478,RF_predicted_544model
84-16-2,Meso-hexestrol,270.4,4.274,0.00772,,42.0233,RF_predicted_544model
59-50-7,4-chloro-3-methylphenol,142.6,3.091,0.0723,,21.2667,RF_predicted_544model
53-16-7,Estrone,270.4,3.132,0.0308,,22.5172,RF_predicted_544model
105-60-2,Caprolactam,113.2,-1.193,0.761,,1.8067,RF_predicted_544model
93-76-5,"2,4,5-trichlorophenoxyacetic acid",255.5,3.31,0.0127,,42.0645,RF_predicted_544model
68-22-4,Norethindrone,298.4,2.97,0.0516,,17.2543,RF_predicted_544model
80-09-1,"4,4'-sulfonyldiphenol",250.3,-0.1034,0.0576,,7.5679,RF_predicted_544model
115-96-8,Tris(2-chloroethyl) phosphate,285.5,1.441,0.44,,4.5579,RF_predicted_544model
791-28-6,Triphenylphosphine oxide,278.3,2.835,0.101,,19.9213,RF_predicted_544model
90-15-3,1-naphthol,144.2,2.85,0.0682,,27.5396,RF_predicted_544model
95-14-7,"1,2,3-benzotriazole",119.1,1.439,0.287,,24.558,RF_predicted_544model
14233-37-5,"1,4-bis(n-isopropylamino)anthraquinone",322.4,3.459,0.00728,,54.8105,RF_predicted_544model
15086-94-9,"2',4',5',7'-tetrabromofluorescein",647.9,5.861,0.003,,13.1449,RF_predicted_544model
21564-17-0,2-(thiocyanomethylthio)benzothiazole,238.3,3.299,0.331,,8.3796,RF_predicted_544model
92-04-6,2-chloro-4-phenylphenol,204.6,4.165,1e-06,,63.5334,RF_predicted_544model
583-39-1,2-mercaptobenzimidazole,150.2,1.66,0.4,,24.5851,RF_predicted_544model
95-53-4,2-methylaniline,107.2,1.322,0.713,,10.756,RF_predicted_544model
88-24-4,"2,2'-methylenebis(ethyl-6-tert-butylphenol)",368.6,7.47,0.00513,,20.988,RF_predicted_544model
1563-38-8,"2,3-dihydro-2,2-dimethyl-7-benzofuranol",164.2,2.083,0.364,,27.1662,RF_predicted_544model
3855-32-1,"2,6,10-trimethyl-2,6,10-triazaundecane",201.4,0.2133,0.0383,,18.2715,RF_predicted_544model
99-07-0,3-dimethylaminophenol,137.2,1.561,0.242,,26.7575,RF_predicted_544model
20325-40-0,"3,3'-dimethoxybenzidine dihydrochloride",317.2,-0.2588,0.201,,10.1573,RF_predicted_544model
1154-59-2,"3,5-dichlorosalicyl-3,4-dichloroanullide",351.0,5.109,1e-06,,30.0473,RF_predicted_544model
6893-02-3,"3,5,3'-triiodothyronine",651.0,3.769,3.46e-05,,11.6918,RF_predicted_544model
10081-67-1,4-(2-phenylpropan-2-yl)-n-[4-(2-phenylpropan-2-yl)phenyl]aniline,405.6,9.246,1e-06,,18.2651,RF_predicted_544model
150-13-0,4-aminobenzoic acid,137.1,0.8241,0.766,,10.1339,RF_predicted_544model
106-47-8,4-chloroanulline,127.6,1.832,0.264,,22.3911,RF_predicted_544model
13080-86-9,"4,4'-(isopropylidenebis(4,1-phenyleneoxy))dianiline",410.5,6.357,1e-06,,21.236,RF_predicted_544model
154-42-7,6-thioguanine,167.2,-0.06896,0.804,,1.7414,RF_predicted_544model
98-86-2,Acetophenone,120.2,1.582,0.326,,21.3986,RF_predicted_544model
25316-40-9,Adriamycin hydrochloride,580.0,1.473,0.157,,7.4154,RF_predicted_544model
1646-88-4,Aldoxycarb,222.3,-0.5679,0.948,,6.0866,RF_predicted_544model
25956-17-6,Allura red c.i.16035,496.4,2.328,0.0137,,8.3086,RF_predicted_544model
3337-71-1,Asulam,230.2,-0.2672,0.456,,5.6563,RF_predicted_544model
446-86-6,Azathioprine,277.3,0.101,0.32,,6.3978,RF_predicted_544model
90357-06-5,Bicalutamide,430.4,3.477,0.0323,,9.9456,RF_predicted_544model
125401-92-5,Bispyribac-sodium,452.4,-1.027,0.0106,,13.5467,RF_predicted_544model
62625-32-5,Bromocresol green sodium salt,720.0,1.581,0.00511,,9.9455,RF_predicted_544model
13301-61-6,C.i. disperse orange 37,392.2,3.178,0.00145,,29.2151,RF_predicted_544model
3118-97-6,C.i. solvent orange 7,276.3,4.442,1e-06,,43.5229,RF_predicted_544model
842-07-9,C.i. solvent yellow 14,248.3,3.866,0.00277,,41.5062,RF_predicted_544model
184653-84-7,Carabersat,357.4,3.204,0.187,,6.5961,RF_predicted_544model
159138-81-5,Cariporide mesylate,379.4,0.5727,0.451,,7.2621,RF_predicted_544model
56-95-1,Chlorhexidine diacetate,625.6,1.33,0.00236,,10.9013,RF_predicted_544model
3691-35-8,Chlorophacinone,374.8,4.064,1e-06,,64.4509,RF_predicted_544model
1897-45-6,Chlorothalonil,265.9,2.976,0.378,,7.7292,RF_predicted_544model
569-57-3,Chlorotrianisene,380.9,5.725,1e-06,,27.1257,RF_predicted_544model
69-09-0,Chlorpromazine hydrochloride,355.3,1.32,0.0235,,15.9755,RF_predicted_544model
249296-43-3,Cj-013610,489.6,0.4695,0.0645,,7.6402,RF_predicted_544model
17321-77-6,Clomipramine hydrochloride,351.3,1.822,0.041,,7.1793,RF_predicted_544model
1702-17-6,Clopyralid,192.0,1.062,0.438,,6.7372,RF_predicted_544model
57754-85-5,Clopyralid-olamine,253.1,1.453,0.464,,3.7001,RF_predicted_544model
290352-28-2,Cp-634384,341.4,3.337,0.0126,,50.2905,RF_predicted_544model
445295-04-5,Cp-671305,454.4,3.118,0.0414,,10.4359,RF_predicted_544model
6055-19-2,Cyclophosphamide monohydrate,279.1,1.304,0.772,,4.8194,RF_predicted_544model
139340-56-0,Darbufelone mesylate,428.6,0.5448,0.00678,,16.1466,RF_predicted_544model
6190-65-4,Deethylatrazine,187.6,1.511,0.486,,10.6139,RF_predicted_544model
90823-38-4,Denatonium saccharide,507.6,0.8279,0.488,,6.0587,RF_predicted_544model
35367-38-5,Diflubenzuron,310.7,3.877,0.0308,,21.5259,RF_predicted_544model
957-51-7,Diphenamid,239.3,2.808,0.301,,7.0355,RF_predicted_544model
126-00-1,Diphenolic acid,286.3,3.455,0.163,,22.6583,RF_predicted_544model
145-73-3,Endothal,186.2,1.907,0.867,,6.1588,RF_predicted_544model
17372-87-1,Eosin,691.9,4.486,0.0524,,15.1034,RF_predicted_544model
133855-98-8,Epoxiconazole,329.8,3.072,0.0575,,15.9743,RF_predicted_544model
2353-45-9,Fd&c green no. 3,808.8,4.633,0.0151,,9.3549,RF_predicted_544model
72178-02-0,Fomesafen,438.8,2.902,0.017,,10.9794,RF_predicted_544model
52806-53-8,Hydroxyflutamide,292.2,2.7,0.166,,17.3178,RF_predicted_544model
51-30-9,Isoproterenol hydrochloride,247.7,-1.184,0.609,,4.7158,RF_predicted_544model
34123-59-6,Isoproturon,206.3,2.686,0.258,,10.875,RF_predicted_544model
1166-52-5,Lauryl gallate,338.4,4.638,1e-06,,56.6093,RF_predicted_544model
129-73-7,Leucomalachite green,330.5,5.525,1e-06,,71.4876,RF_predicted_544model
51-48-9,Levothyroxine,776.9,4.927,1e-06,,13.147,RF_predicted_544model
41394-05-2,Metamitron,202.2,0.8305,0.693,,8.485,RF_predicted_544model
100-97-0,Methenamine,140.2,-0.1649,0.352,,6.8765,RF_predicted_544model
6923-22-4,Monocrotophos,223.2,-0.1994,0.898,,5.2158,RF_predicted_544model
1746-81-2,Monolinuron,214.6,2.297,0.205,,18.8169,RF_predicted_544model
4376-18-5,Monomethyl phthalate,180.2,1.139,0.372,,5.8868,RF_predicted_544model
654055-01-3,Morin hydrate,338.3,1.499,1e-06,,60.0278,RF_predicted_544model
1214-39-7,N-benzyladenine,225.3,1.567,0.138,,6.9957,RF_predicted_544model
88-12-0,N-vinyl-2-pyrrolidone,111.1,0.3681,0.953,,2.7782,RF_predicted_544model
63612-50-0,Nilutamide,317.2,3.114,0.167,,12.2205,RF_predicted_544model
59-87-0,Nitrofurazone,198.1,0.2287,0.856,,2.3975,RF_predicted_544model
125-13-3,Oxyphenisatin,317.3,3.339,0.0266,,25.3156,RF_predicted_544model
125-31-5,P-xylenol blue,410.5,4.034,0.0261,,13.1218,RF_predicted_544model
311-45-5,Paraoxon,275.2,1.981,0.46,,7.1413,RF_predicted_544model
NOCAS_48505,Pharmagsid_48505,353.8,3.169,0.0135,,46.8853,RF_predicted_544model
57-30-7,Phenobarbital sodium,254.2,-1.405,0.247,,5.9437,RF_predicted_544model
34487-61-1,Phenol red sodium salt,376.4,0.9263,0.0878,,7.4813,RF_predicted_544model
92-84-2,Phenothiazine,199.3,4.149,0.0043,,39.4554,RF_predicted_544model
81131-70-6,Pravastatin sodium,446.5,-0.2281,0.361,,12.355,RF_predicted_544model
181274-15-7,Propoxycarbazone-sodium,420.4,1.191,0.00891,,9.5063,RF_predicted_544model
129630-19-9,Pyraflufen-ethyl,413.2,3.491,0.435,,8.4811,RF_predicted_544model
989-38-8,Rhodamine 6g,479.0,1.207,1e-06,,18.9255,RF_predicted_544model
4418-26-2,Sodium dehydroacetate,190.1,-2.545,0.062,,23.6017,RF_predicted_544model
82385-42-0,Sodium saccharin hydrate,223.2,-2.005,0.698,,5.3718,RF_predicted_544model
57-68-1,Sulfamethazine,278.3,0.1913,0.175,,8.512,RF_predicted_544model
59-40-5,Sulfaquinoxaline,300.3,1.68,0.0037,,30.917,RF_predicted_544model
288104-79-0,Surinabant,522.3,5.451,1e-06,,15.9285,RF_predicted_544model
335104-84-2,Tembotrione,440.8,1.926,0.0919,,6.1706,RF_predicted_544model
1176-74-5,Tetrabromophenolphthalein ethyl ester,662.0,5.769,0.0114,,12.7764,RF_predicted_544model
1156-19-0,Tolazamide,311.4,2.687,0.065,,14.7442,RF_predicted_544model
87820-88-0,Tralkoxydim,329.4,4.461,0.169,,7.206,RF_predicted_544model
112-49-2,Triethylene glycol dimethyl ether,178.2,-0.1647,0.66,,2.3083,RF_predicted_544model
